[Tue Oct 15 23:38:12 2024] Connection initialized
[Tue Oct 15 23:39:08 2024] Connection initialized
[Tue Oct 15 23:46:10 2024] Connection initialized
[Tue Oct 15 23:46:13 2024] [Received message] Id: 3, Timestamp: 3, Type: REQUEST, Content: 
[Tue Oct 15 23:46:26 2024] [Sent message to Node 1] Id: 2, Timestamp: 51, Type: REPLY, Content: OK
[Tue Oct 15 23:46:26 2024] [Received message] Id: 1, Timestamp: 55, Type: RELEASE, Content: 
[Tue Oct 15 23:46:27 2024] [Received message] Id: 1, Timestamp: 58, Type: REQUEST, Content: 
[Tue Oct 15 23:46:27 2024] [Sent message to Node 1] Id: 2, Timestamp: 60, Type: REPLY, Content: OK
[Tue Oct 15 23:46:27 2024] [Received message] Id: 1, Timestamp: 64, Type: RELEASE, Content: 
[Tue Oct 15 23:46:28 2024] [Received message] Id: 1, Timestamp: 67, Type: REQUEST, Content: 
[Tue Oct 15 23:46:28 2024] [Sent message to Node 1] Id: 2, Timestamp: 69, Type: REPLY, Content: OK
[Tue Oct 15 23:46:28 2024] [Received message] Id: 1, Timestamp: 73, Type: RELEASE, Content: 
[Tue Oct 15 23:46:29 2024] [Received message] Id: 1, Timestamp: 76, Type: REQUEST, Content: 
[Tue Oct 15 23:46:29 2024] [Sent message to Node 1] Id: 2, Timestamp: 78, Type: REPLY, Content: OK
[Tue Oct 15 23:46:29 2024] [Received message] Id: 1, Timestamp: 82, Type: RELEASE, Content: 
[Tue Oct 15 23:46:30 2024] [Received message] Id: 1, Timestamp: 85, Type: REQUEST, Content: 
[Tue Oct 15 23:46:30 2024] [Sent message to Node 1] Id: 2, Timestamp: 87, Type: REPLY, Content: OK
[Tue Oct 15 23:46:30 2024] [Received message] Id: 1, Timestamp: 91, Type: RELEASE, Content: 
[Tue Oct 15 23:46:31 2024] [Received message] Id: 1, Timestamp: 94, Type: REQUEST, Content: 
[Tue Oct 15 23:46:31 2024] [Sent message to Node 1] Id: 2, Timestamp: 96, Type: REPLY, Content: OK
[Tue Oct 15 23:46:31 2024] [Received message] Id: 1, Timestamp: 100, Type: RELEASE, Content: 
[Tue Oct 15 23:46:31 2024] [Received message] Id: 1, Timestamp: 103, Type: REQUEST, Content: 
[Tue Oct 15 23:46:31 2024] [Sent message to Node 1] Id: 2, Timestamp: 105, Type: REPLY, Content: OK
[Tue Oct 15 23:46:32 2024] [Received message] Id: 1, Timestamp: 109, Type: RELEASE, Content: 
[Tue Oct 15 23:46:34 2024] [Received message] Id: 1, Timestamp: 112, Type: REQUEST, Content: 
[Tue Oct 15 23:46:34 2024] [Sent message to Node 1] Id: 2, Timestamp: 114, Type: REPLY, Content: OK
[Tue Oct 15 23:46:34 2024] [Received message] Id: 1, Timestamp: 118, Type: RELEASE, Content: 
[Tue Oct 15 23:46:34 2024] [Received message] Id: 1, Timestamp: 121, Type: REQUEST, Content: 
[Tue Oct 15 23:46:34 2024] [Sent message to Node 1] Id: 2, Timestamp: 123, Type: REPLY, Content: OK
[Tue Oct 15 23:46:35 2024] [Received message] Id: 1, Timestamp: 127, Type: RELEASE, Content: 
[Tue Oct 15 23:46:35 2024] [Received message] Id: 1, Timestamp: 130, Type: REQUEST, Content: 
[Tue Oct 15 23:46:35 2024] [Sent message to Node 1] Id: 2, Timestamp: 132, Type: REPLY, Content: OK
[Tue Oct 15 23:46:35 2024] [Received message] Id: 1, Timestamp: 136, Type: RELEASE, Content: 
[Tue Oct 15 23:46:35 2024] [Received message] Id: 1, Timestamp: 139, Type: REQUEST, Content: 
[Tue Oct 15 23:46:35 2024] [Sent message to Node 1] Id: 2, Timestamp: 141, Type: REPLY, Content: OK
[Tue Oct 15 23:46:36 2024] [Received message] Id: 1, Timestamp: 145, Type: RELEASE, Content: 
[Tue Oct 15 23:46:36 2024] [Received message] Id: 1, Timestamp: 148, Type: REQUEST, Content: 
[Tue Oct 15 23:46:36 2024] [Sent message to Node 1] Id: 2, Timestamp: 150, Type: REPLY, Content: OK
[Tue Oct 15 23:46:36 2024] [Received message] Id: 1, Timestamp: 154, Type: RELEASE, Content: 
[Tue Oct 15 23:46:36 2024] [Received message] Id: 1, Timestamp: 157, Type: REQUEST, Content: 
[Tue Oct 15 23:46:36 2024] [Sent message to Node 1] Id: 2, Timestamp: 159, Type: REPLY, Content: OK
[Tue Oct 15 23:46:37 2024] [Received message] Id: 1, Timestamp: 163, Type: RELEASE, Content: 
[Tue Oct 15 23:46:37 2024] [Received message] Id: 1, Timestamp: 166, Type: REQUEST, Content: 
[Tue Oct 15 23:46:37 2024] [Sent message to Node 1] Id: 2, Timestamp: 168, Type: REPLY, Content: OK
[Tue Oct 15 23:46:37 2024] [Received message] Id: 1, Timestamp: 172, Type: RELEASE, Content: 
[Tue Oct 15 23:46:37 2024] [Received message] Id: 1, Timestamp: 175, Type: REQUEST, Content: 
[Tue Oct 15 23:46:37 2024] [Sent message to Node 1] Id: 2, Timestamp: 177, Type: REPLY, Content: OK
[Tue Oct 15 23:46:38 2024] [Received message] Id: 1, Timestamp: 181, Type: RELEASE, Content: 
